In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Write. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Write, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Write, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Write, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Write, Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Get_up, Use_cupboard. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Get_up, Use_cupboard, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Get_up, Use_cupboard, Put_something_on_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Use_cupboard, Put_something_on_table, Sit_down, Use_laptop. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_cupboard, Put_something_on_table, Sit_down, Use_laptop, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Sit_down, Use_laptop, Get_up, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Sit_down, Use_laptop, Get_up, Take_something_off_table, Use_telephone. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_laptop, Get_up, Take_something_off_table, Use_telephone, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Take_something_off_table, Use_telephone, Walk, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_telephone, Walk, Sit_down, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Use_telephone, Walk, Sit_down, Get_up, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Walk, Sit_down, Get_up, Put_something_on_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Sit_down, Get_up, Put_something_on_table, Sit_down, Write. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Get_up, Put_something_on_table, Sit_down, Write, Use_laptop. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Sit_down, Write, Use_laptop, Write. The person is now performing a different action.
