In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Watch_TV, Walk, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Watch_TV, Walk, Watch_TV, Read. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Watch_TV, Read, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Watch_TV, Read, Get_up, Use_telephone. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Read, Get_up, Use_telephone, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Get_up, Use_telephone, Watch_TV, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Use_telephone, Watch_TV, Sit_down, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_telephone, Watch_TV, Sit_down, Get_up, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Sit_down, Get_up, Sit_down, Read. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Get_up, Sit_down, Read, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Sit_down, Read, Watch_TV, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Read, Watch_TV, Watch_TV, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Watch_TV, Watch_TV, Get_up, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Watch_TV, Get_up, Watch_TV, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Get_up, Watch_TV, Walk, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Watch_TV, Walk, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Walk, Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Leave, Enter, Walk, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Sit_down, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Enter, Walk, Sit_down, Get_up, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Sit_down, Get_up, Walk, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Get_up, Walk, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Walk, Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Leave, Enter, Walk, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Sit_down, Read. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Enter, Walk, Sit_down, Read, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Sit_down, Read, Watch_TV, Read. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Read, Watch_TV, Read, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Watch_TV, Read, Drink.From_cup, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Read, Drink.From_cup, Watch_TV, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Drink.From_cup, Watch_TV, Watch_TV, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Watch_TV, Watch_TV, Watch_TV, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Watch_TV, Watch_TV, Watch_TV, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Watch_TV, Watch_TV, Drink.From_cup, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Watch_TV, Drink.From_cup, Drink.From_cup, Read. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Drink.From_cup, Drink.From_cup, Read, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Drink.From_cup, Read, Get_up, Use_telephone. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_cup, Read, Get_up, Use_telephone, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Get_up, Use_telephone, Sit_down, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Use_telephone, Sit_down, Get_up, Sit_down. The person is now performing a different action.
