In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Breakfast.Take_ham. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast, Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Breakfast.Take_ham, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Spread_jam_or_butter, Breakfast.Take_ham, Sit_down, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Breakfast.Take_ham, Sit_down, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Take_ham, Sit_down, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Sit_down, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Stir_coffee/tea. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Stir_coffee/tea, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Stir_coffee/tea, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Stir_coffee/tea, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Stir_coffee/tea, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Stir_coffee/tea. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Stir_coffee/tea, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Eat_at_table, Stir_coffee/tea, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Stir_coffee/tea, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Stir_coffee/tea, Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table, Breakfast.Take_ham. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table, Breakfast.Take_ham, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Eat_at_table, Breakfast.Take_ham, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Breakfast.Take_ham, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Take_ham, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table, Breakfast.Eat_at_table. The person is now performing a different action.
