In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Get_up, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Get_up, Sit_down, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Get_up, Sit_down, Get_up, Use_glasses. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Sit_down, Get_up, Use_glasses, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Get_up, Use_glasses, Sit_down, Read. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Use_glasses, Sit_down, Read, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_glasses, Sit_down, Read, Get_up, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Read, Get_up, Walk, Drink.From_bottle. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Get_up, Walk, Drink.From_bottle, Use_telephone. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Walk, Drink.From_bottle, Use_telephone, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Drink.From_bottle, Use_telephone, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_bottle, Use_telephone, Walk, Walk, Use_telephone. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_telephone, Walk, Walk, Use_telephone, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Walk, Use_telephone, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Walk, Use_telephone, Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_telephone, Leave, Enter, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Enter, Walk, Walk, Walk, Sit_down. The person is now performing a different action.
