In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Sit_down, Read. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Sit_down, Read, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Sit_down, Read, Get_up, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Read, Get_up, Take_something_off_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Read, Get_up, Take_something_off_table, Sit_down, Use_laptop. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Take_something_off_table, Sit_down, Use_laptop, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Sit_down, Use_laptop, Get_up, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Use_laptop, Get_up, Put_something_on_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Use_laptop, Get_up, Put_something_on_table, Sit_down, Watch_TV. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Put_something_on_table, Sit_down, Watch_TV, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Sit_down, Watch_TV, Take_something_off_table, Drink.From_can. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Watch_TV, Take_something_off_table, Drink.From_can, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Watch_TV, Take_something_off_table, Drink.From_can, Put_something_on_table, Get_up. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_can, Put_something_on_table, Get_up, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Drink.From_can, Put_something_on_table, Get_up, Take_something_off_table, Take_pills. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Get_up, Take_something_off_table, Take_pills, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Get_up, Take_something_off_table, Take_pills, Put_something_on_table, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Take_pills, Put_something_on_table, Sit_down, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_pills, Put_something_on_table, Sit_down, Take_something_off_table, Pour.From_bottle. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Put_something_on_table, Sit_down, Take_something_off_table, Pour.From_bottle, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Sit_down, Take_something_off_table, Pour.From_bottle, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the living room performing an action. Previously, the person performed these actions before: Take_something_off_table, Pour.From_bottle, Put_something_on_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
