In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Walk, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Walk, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Walk, Leave, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Leave, Enter, Walk, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Leave, Enter, Walk, Take_something_off_table, Use_fridge. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Take_something_off_table, Use_fridge, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Take_something_off_table, Use_fridge, Walk, Make_coffee. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Use_fridge, Walk, Make_coffee, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_fridge, Walk, Make_coffee, Take_something_off_table, Get_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Make_coffee, Take_something_off_table, Get_water, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Make_coffee, Take_something_off_table, Get_water, Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Get_water, Walk, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Get_water, Walk, Put_something_on_table, Take_something_off_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Take_something_off_table, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Put_something_on_table, Take_something_off_table, Make_coffee.Pour_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Put_something_on_table, Take_something_off_table, Make_coffee.Pour_water, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Make_coffee.Pour_water, Put_something_on_table, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Make_coffee.Pour_water, Put_something_on_table, Use_Drawer, Use_cupboard. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Make_coffee.Pour_water, Put_something_on_table, Use_Drawer, Use_cupboard, Use_cupboard. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Use_Drawer, Use_cupboard, Use_cupboard, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Use_cupboard, Use_cupboard, Put_something_on_table, Make_coffee.Pour_grains. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_cupboard, Use_cupboard, Put_something_on_table, Make_coffee.Pour_grains, Use_cupboard. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_cupboard, Put_something_on_table, Make_coffee.Pour_grains, Use_cupboard, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Make_coffee.Pour_grains, Use_cupboard, Walk, Use_fridge. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Make_coffee.Pour_grains, Use_cupboard, Walk, Use_fridge, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_cupboard, Walk, Use_fridge, Walk, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Use_fridge, Walk, Dump_in_trash, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_fridge, Walk, Dump_in_trash, Walk, Put_something_on_table. The person is now performing a different action.
