In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Use_Drawer, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Use_Drawer, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Use_Drawer, Leave, Enter, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Leave, Enter, Use_Drawer, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Leave, Enter, Use_Drawer, Leave, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Use_Drawer, Leave, Enter, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Leave, Enter, Use_Drawer, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Leave, Enter, Use_Drawer, Use_Drawer, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Use_Drawer, Use_Drawer, Use_Drawer, Leave. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Use_Drawer, Use_Drawer, Leave, Cook. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Use_Drawer, Leave, Cook, Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Leave, Cook, Enter, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Leave, Cook, Enter, Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook, Enter, Walk, Put_something_on_table, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Walk, Put_something_on_table, Walk, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Walk, Use_Drawer, Use_Drawer. The person is now performing a different action.
