In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Take_something_off_table, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Take_something_off_table, Walk, Dump_in_trash. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Enter, Take_something_off_table, Walk, Dump_in_trash, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Walk, Dump_in_trash, Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Dump_in_trash, Walk, Put_something_on_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Dump_in_trash, Walk, Put_something_on_table, Take_something_off_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Take_something_off_table, Take_something_off_table, Wipe_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Take_something_off_table, Take_something_off_table, Wipe_table, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Take_something_off_table, Wipe_table, Put_something_on_table, Wipe_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Wipe_table, Put_something_on_table, Wipe_table, Use_fridge. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Wipe_table, Put_something_on_table, Wipe_table, Use_fridge, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Wipe_table, Use_fridge, Walk, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Wipe_table, Use_fridge, Walk, Use_Drawer, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_fridge, Walk, Use_Drawer, Use_Drawer, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Use_Drawer, Use_Drawer, Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Use_Drawer, Walk, Put_something_on_table, Cook. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Walk, Put_something_on_table, Cook, Walk. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Walk, Put_something_on_table, Cook, Walk, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Cook, Walk, Put_something_on_table, Cook.Cut. The person is now performing a different action.
